id,kind,videoId,publishedAt,channelId,title,description,thumbnails
10	"""j6xRRd8dTPVVptg711_CSPADRfg/SgBqCFR7ntGiVvKrlqd4hjNv5II"""	,'youtube#video','cU42CRu_UvM','2019-06-15T22:59:02.000Z','UC7FIyscxLEpSTgAgz601ELg','[해외반응] IZ*ONE 혼돈의 방콕 공항','IZ*ONE 혼돈의 방콕 공항 레딧에 있는스레드를 번역해왔습니다 재밌게(?) 보시고 좋아요와 구독 버튼 한번씩 부탁드려요~','https://i.ytimg.com/vi/cU42CRu_UvM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cU42CRu_UvM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cU42CRu_UvM/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'IZ*ONE 해외반응', 'liveBroadcastContent': 'none'}
11	"""j6xRRd8dTPVVptg711_CSPADRfg/yn38pgRsPmWBJgiV0Yns7ZCz6eM"""	,'youtube#video','768m13tedM4','2019-04-11T23:23:19.000Z','UCb6uBWNlCA0kyhRln2aa6JA','장원영-미야와키사쿠라-야부키나코 아이즈원 (IZ*ONE) 190412 뮤직뱅크 출근길','미야와키사쿠라 #장원영 #야부키나코 #아이즈원 #IZONE #やぶきなこ #矢吹奈子 #YabukiNako #사쿠라 #みやわきさくら #宮脇咲良 4월 12일 KBS 뮤직뱅크에...','https://i.ytimg.com/vi/768m13tedM4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/768m13tedM4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/768m13tedM4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'NINE STARS', 'liveBroadcastContent': 'none'}
12	"""j6xRRd8dTPVVptg711_CSPADRfg/l1u7Tc25T5K5q-FgtxHe8NBrO4s"""	,'youtube#video','tpuEI5MhPb8','2019-08-07T11:52:21.000Z','UC6CN8cZqw1RkUkBHe9NZzvg','【韓國】GOT7珍榮抓有謙手打招呼超萌 IZ*ONE累壞恩妃奈子超沒精神','OK我們榮宰就是這麼高冷不過帽子這樣戴真的看得到路嗎GOT7日前剛結束日本巡演7日返韓雖然成員們略顯疲憊但看到鏡頭依舊乖巧問好超有禮貌.','https://i.ytimg.com/vi/tpuEI5MhPb8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tpuEI5MhPb8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tpuEI5MhPb8/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'PlayIN', 'liveBroadcastContent': 'none'}
13	"""j6xRRd8dTPVVptg711_CSPADRfg/hgUPQKPCONzQLvabHuPH7teZj58"""	,'youtube#video','V0XulbvNvSM','2019-06-08T08:40:10.000Z','UC7FIyscxLEpSTgAgz601ELg','[해외반응] IZ*ONE 헤어스타일 대변신 EYES ON ME in Seoul','IZ*ONE 헤어스타일 대변신 레딧에 있는 여러개의 스레드를 모아서 번역해봤습니다 재밌게(?) 보셨다면 좋아요 +구독 버튼 한 번씩 부탁드려요~ㅎ.','https://i.ytimg.com/vi/V0XulbvNvSM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/V0XulbvNvSM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/V0XulbvNvSM/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'IZ*ONE 해외반응', 'liveBroadcastContent': 'none'}
14	"""j6xRRd8dTPVVptg711_CSPADRfg/SiWcKGnSbPWKY3NhnvGeayhGAQw"""	,'youtube#video','qKxu4K_NHN8','2018-10-18T07:55:43.000Z','UCttJTfIw70bYK92bUiAtILw','[UPDATE] Alasan Kenapa IZ*ONE &amp; Fromis_9 Tetap Memakai Ruangan Pledis Ent.','Apakah kalian penasaran kenapa Fromis_9 dan IZ*ONE masih menggunakan training room nya Pledis Ent. meskipun sudah pindah ke Off the record ent.','https://i.ytimg.com/vi/qKxu4K_NHN8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qKxu4K_NHN8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qKxu4K_NHN8/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'AllKnetz', 'liveBroadcastContent': 'none'}
15	"""j6xRRd8dTPVVptg711_CSPADRfg/CZZo8fiEcwDE4HxbDvXv9QPNwAo"""	,'youtube#video','SODiWL4enQs','2019-05-12T09:00:09.000Z','UCWVlB4yoM768A_HGeLSjDXA','【IZONE】ヒトミはうまくハングル読めるのか？\u3000TMI②【日本語字幕】','もっとうまくなってますよねｗ 最近は忙しいのでぼちぼち出していきます。 #izone #アイズワン #LaVieenRose.','https://i.ytimg.com/vi/SODiWL4enQs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SODiWL4enQs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SODiWL4enQs/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '豆腐ペンギンTV', 'liveBroadcastContent': 'none'}
16	"""j6xRRd8dTPVVptg711_CSPADRfg/IlbKr3f4n5KMD8QV1idQimUlMck"""	,'youtube#video','KEKD0sCtRNk','2018-11-11T09:00:01.000Z','UCWVlB4yoM768A_HGeLSjDXA','【IZONE】IZ*ONE\u3000おやすみ〜可愛すぎるｗｗｗｗｗｗ【日本語字幕】','ほんとに目が追い付かないｗｗ p.s.ミンジュ可愛いｗ IZONE寝袋バトル ①:https://www.youtube.com/watch?v=BrHXwUMEe9Y ...','https://i.ytimg.com/vi/KEKD0sCtRNk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KEKD0sCtRNk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KEKD0sCtRNk/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '豆腐ペンギンTV', 'liveBroadcastContent': 'none'}
17	"""j6xRRd8dTPVVptg711_CSPADRfg/OMkNR1nKbOz4hBeMK6nRLt8PENg"""	,'youtube#video','pVS7gokqDYY','2019-05-30T14:31:34.000Z','UC8PoUFK1HRdHKGGdwOn748A','아이즈원(IZ*ONE) 댕댕이를 살려줘!','아이즈원(IZ*ONE) 댕댕이를 살려줘!','https://i.ytimg.com/vi/pVS7gokqDYY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pVS7gokqDYY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pVS7gokqDYY/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '빈키모', 'liveBroadcastContent': 'none'}
18	"""j6xRRd8dTPVVptg711_CSPADRfg/ovB-gG90-hVntbkY0cxr0b4XSfU"""	,'youtube#video','JK4qKThrWvI','2018-10-29T17:38:57.000Z','UCdScuCCanRzcZ_jLxzJ7i5w','4K 60P 아이즈원 (IZ*ONE) 쇼콘 엔딩 Ending 직캠 Fancam @IZ*ONE SHOW-CON by 팔도조선','','https://i.ytimg.com/vi/JK4qKThrWvI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JK4qKThrWvI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JK4qKThrWvI/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '팔도조선 KPOP', 'liveBroadcastContent': 'none'}
19	"""j6xRRd8dTPVVptg711_CSPADRfg/rbeGsL8HaYvvZ04Y2iQBpGBfoQA"""	,'youtube#video','GTfA1HJ8pr4','2019-02-09T14:30:57.000Z','UCJlWBKKZIwf6TZU0mR9r90A','[VIET SUB][190131] IZ*ONE CITY -Tiết 2 - Lớp học làm đẹp','Cùng IZ*ONE học cách trang điểm bạn nhé! Theo dõi trang mình ở đây: https://www.facebook.com/YENAvn/','https://i.ytimg.com/vi/GTfA1HJ8pr4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GTfA1HJ8pr4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GTfA1HJ8pr4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'YENAVN IZONE 최예나', 'liveBroadcastContent': 'none'}
